0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8416666666666668,1.8416666666666668,1.8416666666666668,1.8416666666666668,3.3,3.3,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,3.9,0.0,0.0,0.0,2.1,2.1,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,2.1,2.1,0.0,0.0,3.316666666666667,3.316666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,4.1,0.0,0.0,0.0,0.0,3.8,3.8,3.0999999999999996,3.0999999999999996,3.833333333333333,3.833333333333333,0.0,0.0,3.3057142857142856,3.3057142857142856,0.0,0.0,2.1,2.1,0.0,0.0,2.1,2.1,0.0,0.0,2.8,2.8,0.0,0.0,2.538961038961039,2.538961038961039,0.3,0.3,2.1,2.1,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,2.5666666666666664,2.5666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.966666666666667,1.966666666666667,1.966666666666667,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.9000000000000001,1.9000000000000001,0.0,0.0,0.3,0.3,0.0,0.0,1.5000000000000002,1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,0.0,0.0,0.0,0.0,1.9000000000000001,1.9000000000000001,2.0,2.0,1.966666666666667,1.966666666666667,0.0,0.0,1.7571428571428573,1.7571428571428573,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,1.1,1.1,0.0,0.0,1.5285714285714287,1.5285714285714287,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.29999999999995,339.29999999999995,339.29999999999995,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,1.7000000000000002,1.7000000000000002,0.0,0.0,1.866666666666667,1.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,0.0,0.0,0.0,0.0,2.5,2.5,1.9000000000000001,1.9000000000000001,2.2333333333333334,2.2333333333333334,0.0,0.0,2.3857142857142857,2.3857142857142857,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,1.0666666666666667,1.0666666666666667,0.0,0.0,1.2012987012987013,1.2012987012987013,0.3,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6833333333333336,1.6833333333333336,1.6833333333333336,1.6833333333333336,2.1,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7,3.7,0.0,0.0,0.0,2.1,2.1,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,339.69999999999993,339.69999999999993,0.0,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,0.0,0.0,0.0,0.0,3.6,3.6,2.2,2.2,3.4333333333333336,3.4333333333333336,0.0,0.0,2.894285714285714,2.894285714285714,0.0,0.0,3.0999999999999996,3.0999999999999996,0.0,0.0,0.3,0.3,0.0,0.0,0.9333333333333333,0.9333333333333333,0.0,0.0,2.294805194805195,2.294805194805195,0.3,0.3,1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.9000000000000001,0.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9333333333333336,1.9333333333333336,1.9333333333333336,1.9333333333333336,2.9,2.9,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6333333333333337,3.6333333333333337,3.6333333333333337,0.0,0.0,0.0,1.3,1.3,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,0.0,0.0,1.7000000000000002,1.7000000000000002,0.0,0.0,2.783333333333333,2.783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,0.0,0.0,0.0,0.0,3.5,3.5,2.0,2.0,3.3,3.3,0.0,0.0,2.591428571428571,2.591428571428571,0.0,0.0,1.3,1.3,0.0,0.0,0.3,0.3,0.0,0.0,1.55,1.55,0.0,0.0,2.811688311688312,2.811688311688312,0.3,0.3,1.5000000000000002,1.5000000000000002,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,2.3666666666666663,2.3666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4583333333333335,1.4583333333333335,1.4583333333333335,1.4583333333333335,2.3,2.3,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833333333333333,2.833333333333333,2.833333333333333,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,9.7,9.7,0.0,0.0,0.3,0.3,0.0,0.0,2.5166666666666666,2.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.2333333333333334,2.2333333333333334,0.0,0.0,2.7,2.7,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0,2.125974025974026,2.125974025974026,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.5666666666666667,1.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,2.1,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.9000000000000001,0.9000000000000001,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.5571428571428572,0.5571428571428572,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.9000000000000001,0.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6416666666666666,0.6416666666666666,0.6416666666666666,0.6416666666666666,1.9000000000000001,1.9000000000000001,1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,2.1,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,1.1833333333333333,1.1833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0,1.5000000000000002,1.5000000000000002,1.6,1.6,1.1666666666666667,1.1666666666666667,0.0,0.0,1.4885714285714287,1.4885714285714287,0.0,0.0,1.1,1.1,0.0,0.0,0.3,0.3,0.0,0.0,337.4833333333333,337.4833333333333,0.0,0.0,0.7987012987012987,0.7987012987012987,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,2.6,2.6,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2333333333333334,3.2333333333333334,3.2333333333333334,0.0,0.0,0.0,2.1,2.1,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,0.0,0.0,1.7000000000000002,1.7000000000000002,0.0,0.0,3.05,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,4.1,0.0,0.0,0.0,0.0,3.0,3.0,3.6,3.6,2.3,2.3,0.0,0.0,2.928571428571429,2.928571428571429,0.0,0.0,3.0,3.0,0.0,0.0,2.1,2.1,0.0,0.0,2.7,2.7,0.0,0.0,338.7181818181818,338.7181818181818,1.7000000000000002,1.7000000000000002,1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,2.3,2.3,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.966666666666667,1.966666666666667,1.966666666666667,0.0,0.0,0.0,0.3,0.3,0.0,0.0,1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.3,0.3,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0,1.8,1.8,2.0,2.0,1.966666666666667,1.966666666666667,0.0,0.0,1.5000000000000002,1.5000000000000002,0.0,0.0,1.1,1.1,0.0,0.0,0.3,0.3,0.0,0.0,1.1666666666666667,1.1666666666666667,0.0,0.0,1.5571428571428572,1.5571428571428572,0.3,0.3,1.1,1.1,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.5000000000000002,1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.566666666666666,7.566666666666666,7.566666666666666,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.3,0.3,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.2,1.2,2.2,2.2,1.5666666666666667,1.5666666666666667,0.0,0.0,1.385714285714286,1.385714285714286,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0,0.842857142857143,0.842857142857143,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9000000000000001,1.9000000000000001,1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9000000000000004,2.9000000000000004,2.9000000000000004,0.0,0.0,0.0,2.1,2.1,0.0,0.0,4.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,8.7,8.7,0.0,0.0,1.8333333333333335,1.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.0,0.0,0.0,1.9000000000000001,1.9000000000000001,1.9000000000000001,1.9000000000000001,3.4333333333333336,3.4333333333333336,0.0,0.0,1.8085714285714287,1.8085714285714287,0.0,0.0,3.0999999999999996,3.0999999999999996,0.0,0.0,0.3,0.3,0.0,0.0,0.8333333333333333,0.8333333333333333,0.0,0.0,2.1311688311688313,2.1311688311688313,0.3,0.3,2.9,2.9,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4583333333333335,1.4583333333333335,1.4583333333333335,1.4583333333333335,218.50000000000003,218.50000000000003,218.50000000000003,218.50000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,7.8,7.8,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,2.1,2.1,0.0,0.0,3.333333333333333,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,4.1,4.1,3.7,3.7,3.966666666666667,3.966666666666667,0.0,0.0,3.362857142857143,3.362857142857143,0.0,0.0,1.2,1.2,0.0,0.0,0.3,0.3,0.0,0.0,2.466666666666667,2.466666666666667,0.0,0.0,2.3597402597402595,2.3597402597402595,0.3,0.3,1.2,1.2,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,2.966666666666667,2.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1,1.1,2.3,2.3,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.966666666666667,1.966666666666667,1.966666666666667,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,340.09999999999997,340.09999999999997,0.0,0.0,1.4000000000000001,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,1.8,1.8,3.7666666666666666,3.7666666666666666,0.0,0.0,1.5285714285714287,1.5285714285714287,0.0,0.0,1.3,1.3,0.0,0.0,0.3,0.3,0.0,0.0,1.1666666666666667,1.1666666666666667,0.0,0.0,1.6636363636363638,1.6636363636363638,0.3,0.3,1.2,1.2,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.6333333333333335,1.6333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0
